Step,complexity_score,complexity_category
Step 1,2,low
Step 2,5,medium
Step 3,2,low
Step 4,5,medium
Step 5,5,medium
Step 6,2,low
Step 7,3,low
Step 8,2,low
Step 9,4,low
Step 10,5,medium
Step 11,3,low
Step 12,2,low
Step 13,3,low
Step 14,5,medium
Step 15,7,medium
Step 16,2,low
Step 17,6,medium
Step 18,5,medium
Step 19,6,medium
Step 20,2,low
Step 21,6,medium
Step 22,16,high
Step 23,6,medium
Step 24,3,low
Step 25,3,low
Step 26,3,low
Step 27,9,high
Step 28,6,medium
Step 29,4,low
Step 30,8,medium
Step 31,6,medium
Step 32,2,low
Step 33,10,high
Step 34,8,medium
Step 35,7,medium
Step 36,4,low
Step 37,3,low
Step 38,2,low
Step 39,5,medium
Step 40,3,low
Step 41,12,high
Step 42,2,low
Step 43,2,low
Step 44,3,low
Step 45,10,high
Step 46,5,medium
Step 47,3,low
Step 48,5,medium
Step 49,6,medium
Step 50,4,low
Step 51,8,medium
Step 52,4,low
Step 53,5,medium
Step 54,4,low
Step 55,3,low
Step 56,6,medium
Step 57,3,low
Step 58,3,low
