Step,complexity_score,complexity_category,Step_Code
Step 1,2,low,S01
Step 2,5,medium,S02
Step 3,2,low,S03
Step 4,5,medium,S04
Step 5,5,medium,S05
Step 6,2,low,S06
Step 7,3,low,S07
Step 8,2,low,S08
Step 9,4,low,S09
Step 10,5,medium,S10
Step 11,3,low,S11
Step 12,2,low,S12
Step 13,3,low,S13
Step 14,5,medium,S14
Step 15,7,medium,S15
Step 16,2,low,S16
Step 17,6,medium,S17
Step 18,5,medium,S18
Step 19,6,medium,S19
Step 20,2,low,S20
Step 21,6,medium,S21
Step 22,16,high,S22
Step 23,6,medium,S23
Step 24,3,low,S24
Step 25,3,low,S25
Step 26,3,low,S26
Step 27,9,high,S27
Step 28,6,medium,S28
Step 29,4,low,S29
Step 30,8,medium,S30
Step 31,6,medium,S31
Step 32,2,low,S32
Step 33,10,high,S33
Step 34,8,medium,S34
Step 35,7,medium,S35
Step 36,4,low,S36
Step 37,3,low,S37
Step 38,2,low,S38
Step 39,5,medium,S39
Step 40,3,low,S40
Step 41,12,high,S41
Step 42,2,low,S42
Step 43,2,low,S43
Step 44,3,low,S44
Step 45,10,high,S45
Step 46,5,medium,S46
Step 47,3,low,S47
Step 48,5,medium,S48
Step 49,6,medium,S49
Step 50,4,low,S50
Step 51,8,medium,S51
Step 52,4,low,S52
Step 53,5,medium,S53
Step 54,4,low,S54
Step 55,3,low,S55
Step 56,6,medium,S56
Step 57,3,low,S57
Step 58,3,low,S58
