Timestamp,PID,Gender,Age,Experience_LEGO,Experience_DIY,TwoYear_LEGO,TwoYear_MODELS,Childhood_LEGO,Score_Rotation,Score_Corsi
2/18/2026 17:06:33,P01,Cisgender woman,31,2,4,0,3,1,,5
2/21/2026 16:09:58,P02,Cisgender man,22,3,2,2,2,3,,6
2/23/2026 16:07:59,P03,Cisgender woman,27,2,2,0,0,1,,4
2/23/2026 18:07:50,P04,Cisgender woman,19,2,2,2,5,2,,5
2/25/2026 14:08:40,P05,Cisgender woman,21,1,1,0,1,1,,5
2/25/2026 16:05:24,P06,Cisgender woman,21,4,3,2,3,5,,4
2/27/2026 16:22:28,P07,Cisgender woman,21,2,2,3,5,3,,5
3/2/2026 15:23:05,P08,Cisgender woman,21,5,5,10,15,5,,4
3/2/2026 17:14:42,P09,Cisgender woman,20,2,1,1,1,2,,7
3/4/2026 12:07:48,P10,Cisgender woman,20,3,2,2,4,4,,4
3/4/2026 14:06:49,P11,Cisgender woman,19,3,3,5,3,4,,4
3/4/2026 16:02:23,P12,Cisgender woman,21,3,3,6,15,3,,5
3/4/2026 18:03:07,P13,Cisgender woman,20,3,5,1,20,5,,6
3/11/2026 17:18:14,P14,Cisgender man,21,5,3,5,9,5,,6
3/12/2026 11:08:19,P15,Cisgender man,23,5,3,4,6,5,,5
3/13/2026 16:18:33,P16,Cisgender man,22,3,4,1,3,5,,6
4/21/2026 15:42:20,P17,Cisgender man,21,2,1,0,0,2,,4
4/21/2026 18:32:00,P18,Cisgender woman,21,3,2,2,2,2,,5
