"Timestamp","PID","Gender","Age","Experience_LEGO","Experience_DIY","TwoYear_LEGO","TwoYear_MODELS","Childhood_LEGO","Score_Rotation","Score_Corsi","errors_total","duration_minutes"
"2/18/2026 17:06:33","P01","Cisgender woman",31,"2","4",0,3,"1",NA,5,15,34.2583333214124
"2/21/2026 16:09:58","P02","Cisgender man",22,"3","2",2,2,"3",NA,6,4,30.1966666618983
"2/23/2026 16:07:59","P03","Cisgender woman",27,"2","2",0,0,"1",NA,4,8,36.3550000031789
"2/23/2026 18:07:50","P04","Cisgender woman",19,"2","2",2,5,"2",NA,5,8,40.5633333325386
"2/25/2026 14:08:40","P05","Cisgender woman",21,"1","1",0,1,"1",NA,5,8,38.7033333341281
"2/25/2026 16:05:24","P06","Cisgender woman",21,"4","3",2,3,"5",NA,4,9,26.536666671435
"2/27/2026 16:22:28","P07","Cisgender woman",21,"2","2",3,5,"3",NA,5,3,23.0483333269755
"3/2/2026 15:23:05","P08","Cisgender woman",21,"5","5",10,15,"5",NA,4,2,32.0100000023842
"3/2/2026 17:14:42","P09","Cisgender woman",20,"2","1",1,1,"2",NA,7,4,32.941666662693
"3/4/2026 12:07:48","P10","Cisgender woman",20,"3","2",2,4,"4",NA,4,29,38.8400000015895
"3/4/2026 16:02:23","P12","Cisgender woman",21,"3","3",6,15,"3",NA,5,5,33.0316666642825
"3/4/2026 18:03:07","P13","Cisgender woman",20,"3","5",1,20,"5",NA,6,21,25.2233333388964
"3/11/2026 17:18:14","P14","Cisgender man",21,"5","3",5,9,"5",NA,6,7,22.3866666595141
"3/12/2026 11:08:19","P15","Cisgender man",23,"5","3",4,6,"5",NA,5,1,19.8799999992053
"3/13/2026 16:18:33","P16","Cisgender man",22,"3","4",1,3,"5",NA,6,2,17.486666671435
"4/21/2026 15:42:20","P17","Cisgender man",21,"2","1",0,0,"2",NA,4,14,48.7016666690509
