"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P01","jar1","BOOKLET","Step 1",00:02:03.3,00:02:05.1,1.79999995231628,"BOOK_FIRST",2,"S01","low"
"P01","jar1","BOOKLET","Step 0B",00:02:05.4,00:02:20.0,14.5999999046326,"BOOK_FIRST",NA,NA,NA
"P01","jar1","BOOKLET","Step 2",00:02:20.0,00:02:55.5,35.5,"BOOK_FIRST",5,"S02","medium"
"P01","jar1","BOOKLET","Step 3",00:02:55.5,00:03:03.0,7.5,"BOOK_FIRST",2,"S03","low"
"P01","jar1","BOOKLET","Step 4",00:03:03.0,00:03:22.8,19.7999999523163,"BOOK_FIRST",5,"S04","medium"
"P01","jar1","BOOKLET","Step 5",00:03:24.8,00:03:49.4,24.6000001430511,"BOOK_FIRST",5,"S05","medium"
"P01","jar1","BOOKLET","Step 6",00:03:49.3,00:03:58.3,9,"BOOK_FIRST",2,"S06","low"
"P01","jar1","BOOKLET","Step 7",00:03:58.2,00:04:04.9,6.70000004768372,"BOOK_FIRST",3,"S07","low"
"P01","jar1","BOOKLET","Step 8",00:04:04.9,00:04:40.2,35.2999999523163,"BOOK_FIRST",2,"S08","low"
"P01","jar1","BOOKLET","Step 9",00:04:42.4,00:04:57.9,15.5,"BOOK_FIRST",4,"S09","low"
"P01","jar1","BOOKLET","Step 7",00:05:00.0,00:05:19.5,19.5,"BOOK_FIRST",3,"S07","low"
"P01","jar1","BOOKLET","Step 9",00:05:20.7,00:05:54.2,33.5,"BOOK_FIRST",4,"S09","low"
"P01","jar1","BOOKLET","Step 10",00:05:54.2,00:06:12.5,18.2999999523163,"BOOK_FIRST",5,"S10","medium"
"P01","jar1","BOOKLET","Step 11",00:06:12.5,00:06:20.0,7.5,"BOOK_FIRST",3,"S11","low"
"P01","jar1","BOOKLET","Step 12",00:06:22.3,00:06:29.9,7.60000014305115,"BOOK_FIRST",2,"S12","low"
"P01","jar1","BOOKLET","Step 13",00:06:29.9,00:06:42.6,12.6999998092651,"BOOK_FIRST",3,"S13","low"
"P01","jar1","BOOKLET","Step 14",00:06:42.6,00:07:07.7,25.1000001430511,"BOOK_FIRST",5,"S14","medium"
"P01","jar1","BOOKLET","Step 15",00:07:07.7,00:07:49.0,41.2999999523163,"BOOK_FIRST",7,"S15","medium"
"P01","jar1","BOOKLET","Step 16",00:07:51.0,00:07:58.1,7.09999990463257,"BOOK_FIRST",2,"S16","low"
"P01","jar1","BOOKLET","Step 17",00:07:58.1,00:08:14.7,16.6000001430511,"BOOK_FIRST",6,"S17","medium"
"P01","jar1","BOOKLET","Step 18",00:08:14.7,00:08:29.1,14.3999998569489,"BOOK_FIRST",5,"S18","medium"
"P01","jar1","BOOKLET","Step 19",00:08:31.7,00:08:38.7,7,"BOOK_FIRST",6,"S19","medium"
"P01","jar1","BOOKLET","Step 20",00:08:38.7,00:08:43.9,5.20000004768372,"BOOK_FIRST",2,"S20","low"
"P01","jar1","BOOKLET","Step 21",00:08:43.9,00:09:07.5,23.5999999046326,"BOOK_FIRST",6,"S21","medium"
"P01","jar1","BOOKLET","Step 22",00:09:08.8,00:10:10.3,61.5,"BOOK_FIRST",16,"S22","high"
"P01","jar1","BOOKLET","Step 23",00:10:10.3,00:11:11.3,61,"BOOK_FIRST",6,"S23","medium"
"P01","jar1","BOOKLET","Step 24",00:11:12.9,00:11:27.9,15,"BOOK_FIRST",3,"S24","low"
"P01","jar1","BOOKLET","Step 25",00:11:27.9,00:11:45.3,17.3999998569489,"BOOK_FIRST",3,"S25","low"
"P01","jar1","BOOKLET","Step 26",00:11:45.3,00:12:02.4,17.1000001430511,"BOOK_FIRST",3,"S26","low"
"P01","jar1","BOOKLET","Step 27",00:12:03.4,00:12:40.9,37.5,"BOOK_FIRST",9,"S27","high"
"P01","jar1","BOOKLET","Step 28",00:12:40.9,00:13:23.7,42.7999999523163,"BOOK_FIRST",6,"S28","medium"
"P01","jar1","BOOKLET","Step 29",00:13:26.4,00:13:40.7,14.2999999523163,"BOOK_FIRST",4,"S29","low"
"P01","jar2","APP","Step 0A",00:00:05.8,00:00:27.2,21.4000000953674,"BOOK_FIRST",NA,NA,NA
"P01","jar2","APP","Step 30",00:00:28.9,00:00:53.1,24.1999998092651,"BOOK_FIRST",8,"S30","medium"
"P01","jar2","APP","Step 31",00:00:54.0,00:02:12.9,78.9000000953674,"BOOK_FIRST",6,"S31","medium"
"P01","jar2","APP","Step 32",00:02:14.6,00:02:24.6,10,"BOOK_FIRST",2,"S32","low"
"P01","jar2","APP","Step 33",00:02:26.1,00:03:05.6,39.5,"BOOK_FIRST",10,"S33","high"
"P01","jar2","APP","Step 34",00:03:06.7,00:03:44.8,38.0999999046326,"BOOK_FIRST",8,"S34","medium"
"P01","jar2","APP","Step 35",00:03:45.4,00:04:14.9,29.5,"BOOK_FIRST",7,"S35","medium"
"P01","jar2","APP","Step 36",00:04:15.9,00:04:23.1,7.19999980926514,"BOOK_FIRST",4,"S36","low"
