"PID","Gender","Age","Experience_LEGO","Experience_DIY","TwoYear_LEGO","TwoYear_MODELS","Childhood_LEGO","Score_Rotation","Score_Corsi","JAR","FORMAT","ORDER","errors_jar","duration_jar"
"P01","Cisgender woman",31,"2","4",0,3,"1",NA,5,"jar1","BOOKLET","BOOK_FIRST",8,11.2716666618983
"P01","Cisgender woman",31,"2","4",0,3,"1",NA,5,"jar2","APP","BOOK_FIRST",7,22.9866666595141
"P02","Cisgender man",22,"3","2",2,2,"3",NA,6,"jar1","BOOKLET","BOOK_FIRST",3,13.858333325386
"P02","Cisgender man",22,"3","2",2,2,"3",NA,6,"jar2","APP","BOOK_FIRST",1,16.3383333365122
"P03","Cisgender woman",27,"2","2",0,0,"1",NA,4,"jar1","APP","APP_FIRST",0,16.941666662693
"P03","Cisgender woman",27,"2","2",0,0,"1",NA,4,"jar2","BOOKLET","APP_FIRST",8,19.4133333404859
"P04","Cisgender woman",19,"2","2",2,5,"2",NA,5,"jar1","APP","APP_FIRST",3,13.638333328565
"P04","Cisgender woman",19,"2","2",2,5,"2",NA,5,"jar2","BOOKLET","APP_FIRST",5,26.9250000039736
"P05","Cisgender woman",21,"1","1",0,1,"1",NA,5,"jar1","BOOKLET","BOOK_FIRST",6,20.1366666674614
"P05","Cisgender woman",21,"1","1",0,1,"1",NA,5,"jar2","APP","BOOK_FIRST",2,18.5666666666667
"P06","Cisgender woman",21,"4","3",2,3,"5",NA,4,"jar1","APP","APP_FIRST",5,12.9299999992053
"P06","Cisgender woman",21,"4","3",2,3,"5",NA,4,"jar2","BOOKLET","APP_FIRST",4,13.6066666722298
"P07","Cisgender woman",21,"2","2",3,5,"3",NA,5,"jar1","BOOKLET","BOOK_FIRST",2,10.3033333301544
"P07","Cisgender woman",21,"2","2",3,5,"3",NA,5,"jar2","APP","BOOK_FIRST",1,12.7449999968211
"P14","Cisgender man",21,"5","3",5,9,"5",NA,6,"jar1","APP","APP_FIRST",4,11.0883333404859
"P14","Cisgender man",21,"5","3",5,9,"5",NA,6,"jar2","BOOKLET","APP_FIRST",3,11.2983333190282
"P15","Cisgender man",23,"5","3",4,6,"5",NA,5,"jar1","BOOKLET","BOOK_FIRST",1,8.74333333174388
"P15","Cisgender man",23,"5","3",4,6,"5",NA,5,"jar2","APP","BOOK_FIRST",0,11.1366666674614
"P16","Cisgender man",22,"3","4",1,3,"5",NA,6,"jar1","APP","APP_FIRST",1,8.1633333325386
"P16","Cisgender man",22,"3","4",1,3,"5",NA,6,"jar2","BOOKLET","APP_FIRST",1,9.32333333889643
"P08","Cisgender woman",21,"5","5",10,15,"5",NA,4,"jar1","APP","APP_FIRST",0,15.3549999952316
"P08","Cisgender woman",21,"5","5",10,15,"5",NA,4,"jar2","BOOKLET","APP_FIRST",2,16.6550000071526
"P09","Cisgender woman",20,"2","1",1,1,"2",NA,7,"jar1","BOOKLET","BOOK_FIRST",4,17.8199999968211
"P09","Cisgender woman",20,"2","1",1,1,"2",NA,7,"jar2","APP","BOOK_FIRST",0,15.1216666658719
"P10","Cisgender woman",20,"3","2",2,4,"4",NA,4,"jar1","BOOKLET","BOOK_FIRST",3,14.4850000023842
"P10","Cisgender woman",20,"3","2",2,4,"4",NA,4,"jar2","APP","BOOK_FIRST",26,24.3549999992053
"P12","Cisgender woman",21,"3","3",6,15,"3",NA,5,"jar1","BOOKLET","BOOK_FIRST",3,16.6183333317439
"P12","Cisgender woman",21,"3","3",6,15,"3",NA,5,"jar2","APP","BOOK_FIRST",2,16.4133333325386
"P13","Cisgender woman",20,"3","5",1,20,"5",NA,6,"jar1","APP","APP_FIRST",5,9.45000000794729
"P13","Cisgender woman",20,"3","5",1,20,"5",NA,6,"jar2","BOOKLET","APP_FIRST",16,15.7733333309491
"P17","Cisgender man",21,"2","1",0,0,"2",NA,4,"jar1","APP","APP_FIRST",4,21.4550000031789
"P17","Cisgender man",21,"2","1",0,0,"2",NA,4,"jar2","BOOKLET","APP_FIRST",10,27.2466666658719
